題項代碼,題組,問卷,題幹（英文原文）,題目（英文原文）,選項（依序）,對應構念,Annex B 表,臺灣各選項%,OECD各選項%
SC268Q04DA,SC268,學校問卷,To what extent do you agree or disagree with the following statements about your school’s purposes to teach using <digital resources>?,We use <digital resources> to enhance students’ capacity to work in groups.,Strongly disagree | Disagree | Agree | Strongly agree | Does not apply,,,,
SC268Q05DA,SC268,學校問卷,To what extent do you agree or disagree with the following statements about your school’s purposes to teach using <digital resources>?,We use <digital resources> to help students learn how to use them safely outside of school.,Strongly disagree | Disagree | Agree | Strongly agree | Does not apply,,,,
SC268Q06DA,SC268,學校問卷,To what extent do you agree or disagree with the following statements about your school’s purposes to teach using <digital resources>?,We use <digital resources> to track students’ progress.,Strongly disagree | Disagree | Agree | Strongly agree | Does not apply,,,,
SC268Q07DA,SC268,學校問卷,To what extent do you agree or disagree with the following statements about your school’s purposes to teach using <digital resources>?,We use <digital resources> to help low-achieving students catch up with their peers.,Strongly disagree | Disagree | Agree | Strongly agree | Does not apply,,,,
SC268Q08DA,SC268,學校問卷,To what extent do you agree or disagree with the following statements about your school’s purposes to teach using <digital resources>?,We use <digital resources> to engage high-achieving students.,Strongly disagree | Disagree | Agree | Strongly agree | Does not apply,,,,
SC400Q01DA_01_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers in TOTAL (full time),Bottom international quartile - Median: 1 | Second international quartile - Median: 3 | Third international quartile - Median: 6 | Top international quartile - Median: 13 | not administered/not applicable | no response,,,,
SC400Q01DA_02_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers in TOTAL  (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC400Q02DA_01_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers who are female (full time),Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 4 | Top international quartile - Median: 8 | not administered/not applicable | no response,,,,
SC400Q02DA_02_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers who are female  (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC400Q03DA_01_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers <fully certified> by <the appropriate authority> (full time),Bottom international quartile - Median: 0 | Second international quartile - Median: 2 | Third international quartile - Median: 5 | Top international quartile - Median: 12 | not administered/not applicable | no response,,,,
SC400Q03DA_02_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers <fully certified> by <the appropriate authority> (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC400Q04DA_01_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers with at least an <ISCED Level 6 –Bachelor’s or equivalent level> qualification (full time),Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 4 | Top international quartile - Median: 10 | not administered/not applicable | no response,,,,
SC400Q04DA_02_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers with at least an <ISCED Level 6 –Bachelor’s or equivalent level> qualification  (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
SC400Q05DA_01_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers with at least an <ISCED Level 6 – Bachelor’s or equivalent level> qualification <with a major> in science (full time),Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 4 | Top international quartile - Median: 9 | not administered/not applicable | no response,,,,
SC400Q05DA_02_Q,SC400,學校問卷,How many of the following are on the <school science> staff of your school?,<School science> teachers with at least an <ISCED Level 6 – Bachelor’s or equivalent level> qualification <with a major> in science  (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,,
